Training Samples,Train R2 Mean,Train R2 Std,Validation R2 Mean,Validation R2 Std
122,0.9999710727992263,7.587394126823056e-06,0.8876767745228694,0.00876189250135286
245,0.9997295626659222,5.555344413248643e-05,0.9494330427898845,0.028702321589723575
368,0.9997521322116093,3.3345948341773186e-05,0.974990586010285,0.0025474298078510824
491,0.9997235754644874,5.4212870254138865e-06,0.9984251926155997,0.0002195909094074022
614,0.9996665437521962,1.0618987849635609e-05,0.9988389330821859,0.00010762237512668763
